Rank,Tool Name,Category,Rating,Reviews,Favorites,URL,Tool ID
1,"Any Summary","Summarization",5.0,1,188,"https://www.anysummary.app/","6601d440a1b2b5ce0d242390"
2,"freebeat.ai 9.0 ","Music Video Generator",4.9,77,320,"https://freebeat.ai/?utm_source=opentools&utm_medium=referral&utm_campaign=opentools_20250306&utm_content=submittool","67e4b35b90b6f5d3e459702c"
3,"Claude","AI Assistant",5.0,6,141,"https://claude.ai/login?utm_source=opentools.ai&utm_medium=web","6697eeb9ef25c0746b60a23f"
4,"DraGan","Image Generation",5.0,14,69,"https://vcai.mpi-inf.mpg.de/projects/DragGAN/?utm_source=opentools.ai","669740b3ef25c0746b5f1213"
5,"Free Profile Picture Maker","Image Generation",5.0,5,110,"https://pfpmaker.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972dd4ef25c0746b5dd864"
6,"i10X","Business",5.0,10,39,"https://i10x.ai/?el=opentools","68942e628baadbdf0b9bc216"
7,"Evoke Music","Music",5.0,6,88,"https://evokemusic.ai/?utm_source=opentools.ai&utm_medium=web","66973fa5ef25c0746b5f059f"
8,"Face Swap by Remaker","Image Editing",5.0,22,40,"https://remaker.ai/face-swap-free/","65f5136654bd27338f7f123c"
9,"Appear On AI","Marketing",5.0,4,96,"https://appearonai.com/","683f458b7e766f1aabebef74"
10,"Nume","Finance",5.0,5,81,"https://www.nume.ai/?utm_source=listing&utm_medium=organic&utm_campaign=waitlist-launch&utm_content=opentools","67db0ce0bb6fe48df53ab8b9"
11,"Deepfakes Web","Deep Fake Generator",4.5,2,173,"https://deepfakesweb.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","669731a1ef25c0746b5e27ae"
12,"SaveDay","Productivity",5.0,4,83,"https://www.save.day/?utm_source=opentools.ai&utm_medium=web","66973b31ef25c0746b5ec51e"
13,"PDF.ai","Document Interaction",4.2,5,140,"https://pdf.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973764ef25c0746b5e7dfb"
14,"Magify.design","DesignApplication",5.0,2,107,"https://www.magify.design/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","6697310aef25c0746b5e1e74"
15,"SnapDress","Clothes Remover",5.0,13,36,"https://snapdress.image2image.art/?utm_source=opentools.ai&utm_medium=web","6697d541ef25c0746b5f46e4"
16,"KreadoAI","ai-video-generatorï¼Œtext-to-video",5.0,4,62,"https://www.kreadoai.com/","675e3c51ef45804b2a3f7d97"
17,"SongR","Lyrics Generator",4.7,3,96,"https://app.songr.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973471ef25c0746b5e446f"
18,"ChartGPT","Chart Generator",5.0,2,75,"https://www.chartgpt.dev/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972e80ef25c0746b5de7e1"
19,"Infinite Drum","Music Generation",5.0,2,69,"https://experiments.withgoogle.com/ai/drum-machine/view/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973210ef25c0746b5e2e3b"
20,"Opinly.ai","Market Research",4.8,4,65,"https://www.opinly.ai/?utm_source=opentools.ai&utm_medium=web","66984234ab9798050c9f9c8f"
21,"LoveCore AI","Sex Chatbot",5.0,2,61,"https://lovecoreai.com?utm_source=opentools.ai&utm_medium=web","6699313f46403d98189afe04"
22,"Kadoa","Data Management",5.0,2,61,"https://www.kadoa.com/","65f481dca638ecee41d60069"
23,"Lingosync","Translation",5.0,1,78,"https://lingosync.ai/en?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973409ef25c0746b5e3ecc"
24,"Fluig AI","Conversational AI",5.0,1,77,"https://www.fluig.cc/?hmsr=opentools","681468dd0577d3f5922d78d0"
25,"Pinbot","Utilities",5.0,2,56,"https://getpinbot.com/?utm_source=opentools.ai&utm_medium=web","66973b5fef25c0746b5ec895"
26,"Dora","Website Builder",3.7,7,160,"https://www.dora.run/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972bcdef25c0746b5db62a"
27,"Rapli","Marketing",5.0,1,69,"https://rapli.co/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","6697345cef25c0746b5e4236"
28,"Sloped","Data Analytics",5.0,1,69,"https://www.sloped.xyz/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973430ef25c0746b5e410d"
29,"WebWhiz","Customer Support",5.0,3,42,"https://www.webwhiz.ai/?utm_source=opentools.ai&utm_medium=web","66973af1ef25c0746b5ebecc"
30,"Mixus AI","Conversational AI",5.0,1,22,"https://www.mixus.ai/","675c45e0b36af62553568127"
31,"Promptchan","Image Generation",5.0,5,28,"https://promptchan.ai/?utm_source=opentools.ai&utm_medium=web","6697d46aef25c0746b5f38e7"
32,"Rewriteit AI","Writing Assistance Tools",5.0,1,55,"https://rewriteit.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972be9ef25c0746b5db8e4"
33,"Picsart Creative APIs","Image Editing",5.0,1,52,"https://picsart.io","678f4f4c286ffdd84f248466"
34,"Cognosys","Productivity",5.0,1,49,"https://www.cognosys.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972aefef25c0746b5da4bc"
35,"Gamma App","Presentation Maker",5.0,2,39,"https://gamma.app/","6647779c9a0c9177d49fea16"
36,"Glasp YouTube Summarizer","Summarization",5.0,3,31,"https://glasp.co/youtube-summary","66972582ef25c0746b5d367d"
37,"Vocable AI","Content Marketing",5.0,9,17,"https://vocable.ai/?utm_source=standalone&utm_medium=webpage&utm_campaign=acq-opentools&utm_term=ot-webpage-01&utm_content=20231107","66987cddab9798050ca0836d"
38,"Tammy AI","AI Assistant",4.5,2,64,"https://tammy.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972be3ef25c0746b5db8a4"
39,"MurfAI","Text-To-Speech",5.0,2,33,"https://murf.ai/?lmref=oKMRNw","6697268def25c0746b5d4e47"
40,"DoNotPay","AI Assistant",5.0,1,42,"https://donotpay.com/","6696ae07ef25c0746b5c7b92"
41,"Guidde","Video Editing",5.0,1,40,"https://www.guidde.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973040ef25c0746b5e0f94"
42,"SiteGPT","AI Assistant",5.0,1,40,"https://sitegpt.ai/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972761ef25c0746b5d6076"
43,"Magic Hour","Generative Video",4.4,7,35,"https://magichour.ai/?utm_source=opentools.ai&utm_medium=web","6697f350ef25c0746b60bd13"
44,"Remove.bg","Image Editing",5.0,3,24,"https://www.remove.bg/?ref=opentools.ai","6680a8931627cd03be28f295"
45,"Predict","AI Assistant",5.0,1,35,"https://www.neuronsinc.com/predict","6696abd8ef25c0746b5c51b6"
46,"Jotform AI Agents","AI Assistant",5.0,1,32,"https://www.jotform.com/ai/agents/","67c71716dc3eb23c2da4e338"
47,"Carousel Studio","DesignApplication",5.0,1,30,"https://www.canva.com/your-apps/AAF7TLHCJVk/carousel-studio","67aa3e58f35f36a603d91e54"
48,"GPT Researcher","DeveloperApplication",5.0,1,30,"https://github.com/assafelovic/gpt-researcher?utm_source=opentools.ai&utm_medium=web","6697eedcef25c0746b60a279"
49,"ClipDrop","Image Editing",5.0,1,30,"https://clipdrop.co/","66972755ef25c0746b5d5fa3"
50,"Estimatic.ai","Construction AI",5.0,1,10,"https://contractorplus.app/ai-estimating-software","690b746298069c0c52d8ebaa"
51,"Skool","Community Management Software",4.5,2,38,"https://www.skool.com/signup?ref=1646cbdf20514dd596879ab323602fc3","671fb2a95c608dab2c55601e"
52,"Voicemod","Voice Modulation",5.0,1,25,"https://www.voicemod.net/","669725ccef25c0746b5d3e43"
53,"Monica","AI Assistant",5.0,1,24,"https://monica.im/?ref=opentools.ai","668095221627cd03be28ad25"
54,"Writesonic","Content Creation",5.0,1,24,"https://writesonic.com/?source=opentools.ai","66972615ef25c0746b5d4470"
55,"10Web","Website Builder",5.0,1,23,"https://10web.io/","65ffa1a1813ef809f4b57a36"
56,"Dupe Any Product","ShoppingApplication",5.0,1,21,"https://dupe.com/?utm_source=opentools.ai&utm_medium=web","669930f046403d98189af99b"
57,"Devin AI","AI Assistant",5.0,1,21,"https://devin.ai/?utm_source=opentools.ai&utm_medium=web","669930da46403d98189af806"
58,"Kamoto.AI","AI Assistant",5.0,1,21,"https://app.kamoto.ai/auth/registration?r=KA915NH1&utm_source=opentools.ai&utm_medium=web","6698565cab9798050ca00690"
59,"Homeworkify","Education",5.0,1,21,"https://homeworkify.st/mirror-1/","65f51168f5b57b3f68c88bb0"
60,"1hero.ai","E-commerce",5.0,1,21,"https://www.1hero.ai/","65ffb0ddad398a6290cf9399"
61,"CrewAI Github","AI Assistant",5.0,1,20,"https://github.com/joaomdmoura/crewAI?utm_source=opentools.ai&utm_medium=web","66992f5946403d98189ade96"
62,"Unicody","Website Builder",5.0,1,20,"https://uncody.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972ae0ef25c0746b5da37d"
63,"Lama Cleaner","Image Improvement",5.0,1,20,"https://github.com/Sanster/lama-cleaner","669725e4ef25c0746b5d4094"
64,"Unscreen","Video Editing",5.0,2,16,"https://www.unscreen.com/","664784cb9a0c9177d4a0017c"
65,"GPTinf","AI Detection",5.0,1,19,"https://www.gptinf.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972ad8ef25c0746b5da2e1"
66,"OnlyFakes","NSFW Image Generator",5.0,2,14,"https://onlyfakes.app/?utm_source=opentools.ai&utm_medium=web","66992f7246403d98189ae056"
67,"Jobscan","Resume Builder",5.0,1,18,"https://www.jobscan.co/?utm_source=opentools.ai&utm_medium=web","6680c7d0ad2d022e89b1da8b"
68,"Pixelcut","Image Editing",5.0,1,18,"https://www.pixelcut.ai/?ref=opentools.ai","6646c58ea0315b82cae29709"
69,"Godmode","AI Assistant",4.0,1,65,"https://godmode.space/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972a3aef25c0746b5d950d"
70,"AVCLabs Video Enhancer","Video Editing",5.0,5,5,"https://www.avclabs.com/video-enhancer-ai.html?utm_source=opentools.ai&utm_medium=web","66984175ab9798050c9f8fb4"
71,"NSFW AI Nude Image Generator","Free Ai Nude Image Generator",5.0,1,15,"https://mydreams.studio/nsfw-adult-ai-image-generator","68347c722acdf0336090e0f3"
72,"Leonardo.ai","Content Creation",5.0,1,15,"https://leonardo.ai/","66972430ef25c0746b5d14d9"
73,"Phind","Search Engine",5.0,1,14,"https://phind.com/","6696a831ef25c0746b5c067b"
74,"MagicSchool.ai","Education",5.0,1,14,"https://www.magicschool.ai/?utm_source=opentools.ai&utm_medium=web","6697f330ef25c0746b60bafa"
75,"ClickUp AI Writing Assistant","Productivity",5.0,1,14,"https://clickup.com/features/ai?utm_source=opentools.ai&utm_medium=web","6697dc5eef25c0746b5fc543"
76,"Midjourney","Generative Art",5.0,1,14,"https://www.midjourney.com/home/?callbackUrl=%2Fapp%2F%3Fref%3D","66972735ef25c0746b5d5d6c"
77,"Vocal Remover","Music",4.5,2,20,"https://vocalremover.org/","6696aa67ef25c0746b5c28e7"
78,"Screenshot Coder","Code Generator",5.0,1,13,"https://www.screenshotcoder.com/?utm_source=opentools.ai&utm_medium=web","6699304546403d98189aefec"
79,"Nvidia Launchpad AI","AI Assistant",5.0,1,13,"https://www.nvidia.com/en-in/launchpad/ai/?utm_source=opentools.ai&utm_medium=web","6697d3eaef25c0746b5f306a"
80,"Moises App","Music",5.0,1,13,"https://moises.ai/","6696afe8ef25c0746b5c98a3"
81,"Rask.ai","Video Localization",5.0,1,13,"https://www.rask.ai/","66477b6b9a0c9177d49ff3d6"
82,"All Voice Lab","Audio Editing",4.8,4,10,"https://www.allvoicelab.com/?utm_source=opentools","6822f9fb940110b5ceb355dd"
83,"Mysports AI","Sports Betting AI",5.0,5,6,"https://mysports.ai/en?utm_source=opentools.ai&utm_medium=web","66992c7146403d98189ab4e1"
84,"VoiceType AI","Speech-To-Text",5.0,1,6,"https://go.voicetype.com/opentoolsai","686c913a1415c6c8a38caecb"
85,"AI Tools FYI","Gaming",5.0,1,12,"https://aitools.fyi/?utm_source=opentools.ai&utm_medium=web","66992ffe46403d98189aeb48"
86,"Make","No-Code",5.0,1,12,"https://www.make.com/en?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66973564ef25c0746b5e56a1"
87,"GPTGO","Search Tool",5.0,1,12,"https://gptgo.ai/?hl=en?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972efdef25c0746b5df418"
88,"Fotor","Image Editing",5.0,1,12,"https://www.fotor.com/","66477a149a0c9177d49ff0ad"
89,"OctoComics","Content Creation",5.0,4,6,"https://www.octocomics.com","67da805310fab1b888a501d2"
90,"Lazy","No-Code",5.0,4,6,"https://www.getlazy.ai/?utm_source=opentools.ai&utm_medium=web","669930d246403d98189af72e"
91,"Chatbase","Chatbot",4.0,1,43,"https://www.chatbase.co/?via=opentoolsai","6696a8b7ef25c0746b5c1071"
92,"promptoMANIA","Art Generator",5.0,1,11,"https://promptomania.com/","6696ae74ef25c0746b5c8215"
93,"TurboScribe","Speech-To-Text",5.0,2,8,"https://turboscribe.ai/?utm_source=opentools.ai&utm_medium=web","669823dbef25c0746b62438b"
94,"Torq","AI Assistant",5.0,2,8,"https://www.torq.live/?utm_source=opentools.ai&utm_medium=web","6697dea3ef25c0746b5fe4d1"
95,"PicTools AI","Image Editing",5.0,1,10,"https://pictools.ai/","673369a3eec886e0aa274a31"
96,"CodeGeeX","UI/UX Design",5.0,1,10,"https://codegeex.cn/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972a1eef25c0746b5d92ed"
97,"Movio","Video Editing",5.0,1,10,"https://www.movio.la/","669726e1ef25c0746b5d5617"
98,"Wave.Video","Video Editing",5.0,1,10,"https://wave.video/","669725feef25c0746b5d429d"
99,"Video Editor AI","Video Editing",5.0,3,6,"https://videoeditorai.com/?utm_source=opentools.ai&utm_medium=web&utm_campaign=listing","66972dcaef25c0746b5dd7e4"
100,"Circleboom","Social Media",5.0,2,7,"https://circleboom.com/social-media-scheduler?utm_source=opentools.ai&utm_medium=web","66992e9b46403d98189ad58c"